"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C69EVQ6M","journalArticle","2022","Hameed, Shaima; Elsheikh, Yousef; Azzeh, Mohammed","An optimized case-based software project effort estimation using genetic algorithm","","","","10.1016/J.INFSOF.2022.107088","","","2022","2023-08-27 06:16:27","2023-08-27 06:16:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQFDINMP","journalArticle","2020","Jishnu, A.; Garg, A.; Shaosen, Su; Su, Yan; Panigrahi, B. K.","A novel procedure combining computational fluid dynamics and evolutionary approach to minimize parasitic power loss in air cooling of Li-ion battery for thermal management system design","Energy Storage","","","10.1002/EST2.210","","","2020","2023-08-27 06:16:27","2023-08-27 06:16:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3CVPEML","journalArticle","2001","Burgess, Colin J.; Lefley, Martin","Can genetic programming improve software effort estimation? A comparative evaluation","Information & Software Technology","","","10.1016/S0950-5849(01)00192-6","","","2001","2023-08-27 06:16:27","2023-08-27 06:16:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IL9M6GKZ","journalArticle","2020","Jha, Mayank; Jha, Richa","Comparing the Effort Estimated By Different Models","","","","10.1109/ICACCS48705.2020.9074165","","","2020","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQH4QIBT","journalArticle","2020","Kumar, P. Suresh; Behera, Himansu Sekhar","Estimating Software Effort Using Neural Network: An Experimental Investigation","Advances in intelligent systems and computing","","","10.1007/978-981-15-2449-3_14","","","2020","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKULBR55","journalArticle","1997","Shepperd, M.; Schofield, C.","Estimating Software Project Effort Using Analogies","IEEE Trans. Software Eng.","","","10.1109/32.637387","","","1997","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWIWKGZF","journalArticle","2020","Garg, Akhil; Su, Shaosen; Li, Fan; Gao, Liang","Framework of Model Selection Criteria Approximated Genetic Programming for Optimization Function for Renewable Energy Systems","Swarm and evolutionary computation","","","10.1016/J.SWEVO.2020.100750","","","2020","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBUXY9V3","journalArticle","2010","Ferrucci, F.; Gravino, C.; Oliveto, R.; Sarro, Federica","Genetic Programming for Effort Estimation: An Analysis of the Impact of Different Fitness Functions","2nd International Symposium on Search Based Software Engineering","","","10.1109/SSBSE.2010.20","","","2010","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV9HGS3V","journalArticle","2018","Sarro, Federica; Petrozziello, Alessio","Linear Programming as a Baseline for Software Effort Estimation","ACM Trans. Softw. Eng. Methodol.","","","10.1145/3234940","","","2018","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2LD8ANE","journalArticle","2021","Su, Shaosen; Li, Wei; Li, Yongsheng; Garg, Akhil; Gao, Liang; Zhou, Quan","Multi-objective design optimization of battery thermal management system for electric vehicles","Applied Thermal Engineering","","","10.1016/J.APPLTHERMALENG.2021.117235","","","2021","2023-08-27 06:16:28","2023-08-27 06:16:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
