"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3GNCXNFJ","journalArticle","2022","Fleischer, Sam; Hihn, J.; Johnson, James","Advanced Statistical Methods in Spacecraft Flight Software Cost Estimation: Bayesian Regression and Nonlinear Principal Components Analysis to Support System Engineering in the Early Project Lifecycle","","","","10.1002/IIS2.12943","","","2022","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSWY9QX8","journalArticle","2022","Salmani, Ali; Imani, Alireza; Bahrehvar, Majid; Duffett-Leger, Linda; Moshirpour, Mohammad","An Intelligent Methodology to Enhance Requirements Engineering in Multidisciplinary Projects","","","","10.1109/CCECE49351.2022.9918286","","","2022","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJSVAV7T","journalArticle","2003","Foss, T.; Stensrud, E.; Kitchenham, B.; Myrtveit, I.","A Simulation Study of the Model Evaluation Criterion MMRE","IEEE Trans. Software Eng.","","","10.1109/TSE.2003.1245300","","","2003","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"686TDLYD","journalArticle","2007","Jørgensen, M.; Shepperd, M.","A Systematic Review of Software Development Cost Estimation Studies","IEEE Transactions on Software Engineering","","","10.1109/TSE.2007.256943","","","2007","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LUDZHLK","journalArticle","2022","Tornhill, Adam; Borg, Markus; Tornhill, Adam; Borg, Markus","Code red","","","","10.1145/3524843.3528091","","","2022","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46SZRXWH","journalArticle","2022","Jawa, Misha; Meena, Shweta","Comparative Analysis of Ensemble Models for Software Effort Estimation","","","","10.1007/978-981-19-5292-0_5","","","2022","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGZ7ZMTA","journalArticle","2012","Dejaeger, K.; Verbeke, W.; Martens, David; Baesens, B.","Data Mining Techniques for Software Effort Estimation: A Comparative Study","IEEE Transactions on Software Engineering","","","10.1109/TSE.2011.55","","","2012","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T2I2S7N","journalArticle","2013","Minku, Leandro L.; Yao, Xin","Ensembles and locality","Information & Software Technology","","","10.1016/J.INFSOF.2012.09.012","","","2013","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMTCE839","journalArticle","1997","Shepperd, M.; Schofield, C.","Estimating Software Project Effort Using Analogies","IEEE Trans. Software Eng.","","","10.1109/32.637387","","","1997","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAMZSPXR","journalArticle","2012","Shepperd, Martin; Macdonell, Steve","Evaluating prediction systems in software project estimation","Information & Software Technology","","","10.1016/J.INFSOF.2011.12.008","","","2012","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GTBMQ49","journalArticle","2012","Kocaguneli, Ekrem; Menzies, T.; Bener, A.; Keung, J.","Exploiting the Essential Assumptions of Analogy-Based Effort Estimation","IEEE Transactions on Software Engineering","","","10.1109/TSE.2011.27","","","2012","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLTZ9VTS","journalArticle","2022","Kula, E.; Greuter, Eric; Deursen, A. van; Gousios, Georgios","Factors Affecting On-Time Delivery in Large-Scale Agile Software Development","IEEE Transactions on Software Engineering","","","10.1109/TSE.2021.3101192","","","2022","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEEMDPN7","journalArticle","2023","Ali, Syed Sarmad; Ren, Jian; Zhang, Kiu; Wu, Ji; Liu, Chao","Heterogeneous Ensemble Model to Optimize Software Effort Estimation Accuracy","","","","10.1109/ACCESS.2023.3256533","","","2023","2023-08-26 11:12:14","2023-08-26 11:12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
