"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZIQFIA79","journalArticle","2019","Choetkiertikul, Morakot; Dam, Hoa Khanh; Tran, Truyen; Pham, Trang; Ghose, Aditya; Menzies, Tim","A Deep Learning Model for Estimating Story Points","IEEE Transactions on Software Engineering","","","10.1109/TSE.2018.2792473","","","2019","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5XT5FQZ","journalArticle","2022","Schürhoff, Christian; Hanenberg, Stefan; Gruhn, V.","An empirical study on a single company’s cost estimations of 338 software projects","Empirical Software Engineering","","","10.1007/S10664-022-10245-Z","","","2022","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Y7QUSKH","journalArticle","2011","Arcuri, A.; Briand, L.","A practical guide for using statistical tests to assess randomized algorithms in software engineering","International Conference on Software Engineering","","","10.1145/1985793.1985795","","","2011","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRW4PC3Z","journalArticle","2003","Foss, T.; Stensrud, E.; Kitchenham, B.; Myrtveit, I.","A Simulation Study of the Model Evaluation Criterion MMRE","IEEE Trans. Software Eng.","","","10.1109/TSE.2003.1245300","","","2003","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6FI9VBV","journalArticle","2007","Jørgensen, M.; Shepperd, M.","A Systematic Review of Software Development Cost Estimation Studies","IEEE Transactions on Software Engineering","","","10.1109/TSE.2007.256943","","","2007","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWQMUY7R","journalArticle","1997","Shepperd, M.; Schofield, C.","Estimating Software Project Effort Using Analogies","IEEE Trans. Software Eng.","","","10.1109/32.637387","","","1997","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9P8ZUWX","journalArticle","2012","Shepperd, Martin; Macdonell, Steve","Evaluating prediction systems in software project estimation","Information & Software Technology","","","10.1016/J.INFSOF.2011.12.008","","","2012","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJK2F3TW","journalArticle","2023","Fu, Michael; Tantithamthavorn, C.","GPT2SP: A Transformer-Based Agile Story Point Estimation Approach","IEEE Transactions on Software Engineering","","","10.1109/TSE.2022.3158252","","","2023","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GAFMEMB","journalArticle","2023","Ali, Syed Sarmad; Ren, Jian; Zhang, Kiu; Wu, Ji; Liu, Chao","Heterogeneous Ensemble Model to Optimize Software Effort Estimation Accuracy","","","","10.1109/ACCESS.2023.3256533","","","2023","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ZKZCMTD","journalArticle","2023","Guizzo, Giovani; Califano, Francesco; Sarro, Federica; Ferrucci, Filomena; Harman, Mark","Inferring test models from user bug reports using multi-objective search","Empirical Software Engineering","","","10.1007/S10664-023-10333-8","","","2023","2023-08-26 10:49:46","2023-08-26 10:49:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
